ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
4ceaaa02,Hot Deck Dischange Air Pressure Setpoint,Subparts,Setpoint,Discharge_Air_Static_Pressure_Setpoint,Hot_Deck,,"hotDeck, discharge, air, pressure",setpoint,sp,hisMode:sampled,,,,,
d1e67bd5,Cold Deck Discharge Air Temperature Setpoint,Subparts,Setpoint,Discharge_Air_Temperature_Setpoint,Cold_Deck,,"coldDeck, discharge, air, temp",setpoint,sp,hisMode:sampled,,,,,
0717a16c,Cold Deck Discharge Air Pressure,Subparts,Sensor,Discharge_Air_Static_Pressure_Sensor,Cold_Deck,,"coldDeck, discharge, air, pressure",,sensor|sp,hisMode:sampled,,,,,
072db8d4,Cold Deck Dischange Air Pressure Setpoint,Subparts,Setpoint,Discharge_Air_Static_Pressure_Setpoint,Cold_Deck,,"coldDeck, discharge, air, pressure",setpoint,sp,hisMode:sampled,,,,,
72e9e40c,Mixed Air Damper Position Command,Subparts,Command,Position_Command,Mixed_Damper,,"mixed, air, damper",,cmd,hisMode:sampled,,,,,
fe881aa7,Mixed Air Damper Position,Subparts,Sensor,Position_Sensor,Mixed_Damper,,"mixed, air, damper",,sensor|sp,hisMode:sampled,,,,,
a31853bc,Primary Air Damper Position Command,Subparts,Command,Position_Command,Damper,,"inlet, damper",,cmd,hisMode:sampled,,,,,
535baa5c,Primary Air Damper Position,Subparts,Sensor,Position_Sensor,Damper,,"inlet, damper",,sensor|sp,hisMode:sampled,,,,,
dcd3622a,Return Air Damper Position Command,Subparts,Command,Position_Command,Return_Damper,,"return, air, damper",,cmd,hisMode:sampled,,,,,
860f2abd,Return Air Damper Position,Subparts,Sensor,Position_Sensor,Return_Damper,,"return, air, damper",,sensor|sp,hisMode:sampled,,,,,
ad28e76d,Return Air Damper Override Status,Subparts,Status,Overriden_Status,Return_Damper,,"return, air, damper",override,sensor|sp,hisMode:sampled,,,,,
2bd75ddf,Return Air Damper Override Command,Subparts,Command,Override_Command,Return_Damper,,"return, air, damper",override,cmd|sp,hisMode:sampled,,,,,
d98aa479,Outside Air Damper Position Command,Subparts,Command,Position_Command,Outside_Damper,,"outside, air, damper",,cmd,hisMode:sampled,,,,,
b2fe7f61,Outside Air Damper Position,Subparts,Sensor,Position_Sensor,Outside_Damper,,"outside, air, damper",,sensor|sp,hisMode:sampled,,,,,
fbaa901e,Outside Air Damper Override Status,Subparts,Status,Overriden_Status,Outside_Damper,,"outside, air, damper",override,sensor|sp,hisMode:sampled,,,,,
38dcbdca,Outside Air Damper Override Command,Subparts,Command,Override_Command,Outside_Damper,,"outside, air, damper",override,cmd|sp,hisMode:sampled,,,,,
